actor,action,rep,phase,frame_in_phase,0x118,0x000,0x004,0x008,0x00C,0x010,0x014,0x018
p1,lp,0,pre,0,0,0,0,0,0,0,0,0
p1,lp,0,pre,1,0,0,0,0,0,0,0,0
p1,lp,0,pre,2,0,0,0,0,0,0,0,0
p1,lp,0,pre,3,0,0,0,0,0,0,0,0
p1,lp,0,pre,4,0,0,0,0,0,0,0,0
p1,lp,0,pre,5,0,0,0,0,0,0,0,0
p1,lp,0,hold,0,0,0,0,0,0,0,0,0
p1,lp,0,hold,1,0,0,0,0,0,0,0,0
p1,lp,0,hold,2,0,0,0,0,0,0,0,0
p1,lp,0,hold,3,0,0,0,0,0,0,0,0
p1,lp,0,hold,4,0,0,0,0,0,0,0,0
p1,lp,0,hold,5,0,0,0,0,0,0,0,0
p1,lp,0,hold,6,0,0,0,0,0,0,0,0
p1,lp,0,hold,7,0,0,0,0,0,0,0,0
p1,lp,0,post,0,0,0,0,0,0,0,0,0
p1,lp,0,post,1,0,0,0,0,0,0,0,0
p1,lp,0,post,2,0,0,0,0,0,0,0,0
p1,lp,0,post,3,0,0,0,0,0,0,0,0
p1,lp,0,post,4,0,0,0,0,0,0,0,0
p1,lp,0,post,5,0,0,0,0,0,0,0,0
p1,lp,0,post,6,0,0,0,0,0,0,0,0
p1,lp,0,post,7,0,0,0,0,0,0,0,0
p1,lp,0,post,8,0,0,0,0,0,0,0,0
p1,lp,0,post,9,0,0,0,0,0,0,0,0
p1,lp,1,pre,0,0,0,0,0,0,0,0,0
p1,lp,1,pre,1,0,0,0,0,0,0,0,0
p1,lp,1,pre,2,0,0,0,0,0,0,0,0
p1,lp,1,pre,3,0,0,0,0,0,0,0,0
p1,lp,1,pre,4,0,0,0,0,0,0,0,0
p1,lp,1,pre,5,0,0,0,0,0,0,0,0
p1,lp,1,hold,0,0,0,0,0,0,0,0,0
p1,lp,1,hold,1,0,0,0,0,0,0,0,0
p1,lp,1,hold,2,0,0,0,0,0,0,0,0
p1,lp,1,hold,3,0,0,0,0,0,0,0,0
p1,lp,1,hold,4,0,0,0,0,0,0,0,0
p1,lp,1,hold,5,0,0,0,0,0,0,0,0
p1,lp,1,hold,6,0,0,0,0,0,0,0,0
p1,lp,1,hold,7,0,0,0,0,0,0,0,0
p1,lp,1,post,0,0,0,0,0,0,0,0,0
p1,lp,1,post,1,0,0,0,0,0,0,0,0
p1,lp,1,post,2,0,0,0,0,0,0,0,0
p1,lp,1,post,3,0,0,0,0,0,0,0,0
p1,lp,1,post,4,0,0,0,0,0,0,0,0
p1,lp,1,post,5,0,0,0,0,0,0,0,0
p1,lp,1,post,6,0,0,0,0,0,0,0,0
p1,lp,1,post,7,0,0,0,0,0,0,0,0
p1,lp,1,post,8,0,0,0,0,0,0,0,0
p1,lp,1,post,9,0,0,0,0,0,0,0,0
p1,hp,0,pre,0,0,0,0,0,0,0,0,0
p1,hp,0,pre,1,0,0,0,0,0,0,0,0
p1,hp,0,pre,2,0,0,0,0,0,0,0,0
p1,hp,0,pre,3,0,0,0,0,0,0,0,0
p1,hp,0,pre,4,0,0,0,0,0,0,0,0
p1,hp,0,pre,5,0,0,0,0,0,0,0,0
p1,hp,0,hold,0,0,0,0,0,0,0,0,0
p1,hp,0,hold,1,0,0,0,0,0,0,0,0
p1,hp,0,hold,2,0,0,0,0,0,0,0,0
p1,hp,0,hold,3,0,0,0,0,0,0,0,0
p1,hp,0,hold,4,0,0,0,0,0,0,0,0
p1,hp,0,hold,5,0,0,0,0,0,0,0,0
p1,hp,0,hold,6,0,0,0,0,0,0,0,0
p1,hp,0,hold,7,0,0,0,0,0,0,0,0
p1,hp,0,post,0,0,0,0,0,0,0,0,0
p1,hp,0,post,1,0,0,0,0,0,0,0,0
p1,hp,0,post,2,0,0,0,0,0,0,0,0
p1,hp,0,post,3,0,0,0,0,0,0,0,0
p1,hp,0,post,4,0,0,0,0,0,0,0,0
p1,hp,0,post,5,0,0,0,0,0,0,0,0
p1,hp,0,post,6,0,0,0,0,0,0,0,0
p1,hp,0,post,7,0,0,0,0,0,0,0,0
p1,hp,0,post,8,0,0,0,0,0,0,0,0
p1,hp,0,post,9,0,0,0,0,0,0,0,0
p1,hp,1,pre,0,0,0,0,0,0,0,0,0
p1,hp,1,pre,1,0,0,0,0,0,0,0,0
p1,hp,1,pre,2,0,0,0,0,0,0,0,0
p1,hp,1,pre,3,0,0,0,0,0,0,0,0
p1,hp,1,pre,4,0,0,0,0,0,0,0,0
p1,hp,1,pre,5,0,0,0,0,0,0,0,0
p1,hp,1,hold,0,0,0,0,0,0,0,0,0
p1,hp,1,hold,1,0,0,0,0,0,0,0,0
p1,hp,1,hold,2,0,0,0,0,0,0,0,0
p1,hp,1,hold,3,0,0,0,0,0,0,0,0
p1,hp,1,hold,4,0,0,0,0,0,0,0,0
p1,hp,1,hold,5,0,0,0,0,0,0,0,0
p1,hp,1,hold,6,0,0,0,0,0,0,0,0
p1,hp,1,hold,7,0,0,0,0,0,0,0,0
p1,hp,1,post,0,0,0,0,0,0,0,0,0
p1,hp,1,post,1,0,0,0,0,0,0,0,0
p1,hp,1,post,2,0,0,0,0,0,0,0,0
p1,hp,1,post,3,0,0,0,0,0,0,0,0
p1,hp,1,post,4,0,0,0,0,0,0,0,0
p1,hp,1,post,5,0,0,0,0,0,0,0,0
p1,hp,1,post,6,0,0,0,0,0,0,0,0
p1,hp,1,post,7,0,0,0,0,0,0,0,0
p1,hp,1,post,8,0,0,0,0,0,0,0,0
p1,hp,1,post,9,0,0,0,0,0,0,0,0
p1,lk,0,pre,0,0,0,0,0,0,0,0,0
p1,lk,0,pre,1,0,0,0,0,0,0,0,0
p1,lk,0,pre,2,0,0,0,0,0,0,0,0
p1,lk,0,pre,3,0,0,0,0,0,0,0,0
p1,lk,0,pre,4,0,0,0,0,0,0,0,0
p1,lk,0,pre,5,0,0,0,0,0,0,0,0
p1,lk,0,hold,0,0,0,0,0,0,0,0,0
p1,lk,0,hold,1,0,0,0,0,0,0,0,0
p1,lk,0,hold,2,0,0,0,0,0,0,0,0
p1,lk,0,hold,3,0,0,0,0,0,0,0,0
p1,lk,0,hold,4,0,0,0,0,0,0,0,0
p1,lk,0,hold,5,0,0,0,0,0,0,0,0
p1,lk,0,hold,6,0,0,0,0,0,0,0,0
p1,lk,0,hold,7,0,0,0,0,0,0,0,0
p1,lk,0,post,0,0,0,0,0,0,0,0,0
p1,lk,0,post,1,0,0,0,0,0,0,0,0
p1,lk,0,post,2,0,0,0,0,0,0,0,0
p1,lk,0,post,3,0,0,0,0,0,0,0,0
p1,lk,0,post,4,0,0,0,0,0,0,0,0
p1,lk,0,post,5,0,0,0,0,0,0,0,0
p1,lk,0,post,6,0,0,0,0,0,0,0,0
p1,lk,0,post,7,0,0,0,0,0,0,0,0
p1,lk,0,post,8,0,0,0,0,0,0,0,0
