actor,action,rep,phase,frame_in_phase,0x080,0x094,0x0D0,0x04C,0x0C0,0x0C4,0x0CC,0x130
p2,lp,0,pre,0,0,0,22,526174,260785,260752,2,3014
p2,lp,0,pre,1,0,0,22,526174,260785,260752,2,3015
p2,lp,0,pre,2,0,0,22,526174,260785,260752,2,3015
p2,lp,0,pre,3,0,0,22,526174,260785,260752,2,3015
p2,lp,0,pre,4,0,0,22,526174,260785,260752,2,3016
p2,lp,0,pre,5,0,0,22,526174,260785,260752,2,3016
p2,lp,0,pre,6,0,0,22,526174,260785,260752,2,3017
p2,lp,0,pre,7,0,0,22,526174,260785,260752,2,3018
p2,lp,0,hold,0,0,0,22,526174,260785,260752,2,3018
p2,lp,0,hold,1,0,0,22,526174,260785,260752,2,3018
p2,lp,0,hold,2,0,0,22,526174,260785,260752,2,3019
p2,lp,0,hold,3,0,0,22,526174,260752,260752,1,3020
p2,lp,0,hold,4,0,0,22,526174,260752,260752,1,3020
p2,lp,0,hold,5,63,0,23,533080,0,0,0,3020
p2,lp,0,hold,6,63,0,23,533080,0,0,0,3021
p2,lp,0,hold,7,63,0,23,533080,0,0,0,3021
p2,lp,0,hold,8,62,0,23,533080,0,0,0,3022
p2,lp,0,hold,9,61,0,23,533080,0,0,0,3023
p2,lp,0,post,0,61,0,23,533080,0,0,0,3023
p2,lp,0,post,1,60,0,23,533080,0,0,0,3024
p2,lp,0,post,2,60,0,23,533080,0,0,0,3024
p2,lp,0,post,3,59,0,23,533080,0,0,0,3024
p2,lp,0,post,4,59,0,23,533080,0,0,0,3025
p2,lp,0,post,5,59,0,23,533080,0,0,0,3025
p2,lp,0,post,6,58,0,23,533080,0,0,0,3026
p2,lp,0,post,7,58,0,23,533080,0,0,0,3026
p2,lp,0,post,8,57,0,23,533080,0,0,0,3027
p2,lp,0,post,9,56,0,23,533080,0,0,0,3028
p2,lp,0,post,10,56,0,23,533080,0,0,0,3028
p2,lp,0,post,11,55,0,23,533080,0,0,0,3029
p2,lp,0,post,12,55,0,23,533080,0,0,0,3029
p2,lp,0,post,13,54,0,23,533080,0,0,0,3030
p2,lp,1,pre,0,0,0,22,526174,260785,260752,2,3014
p2,lp,1,pre,1,0,0,22,526174,260785,260752,2,3015
p2,lp,1,pre,2,0,0,22,526174,260785,260752,2,3015
p2,lp,1,pre,3,0,0,22,526174,260785,260752,2,3015
p2,lp,1,pre,4,0,0,22,526174,260785,260752,2,3016
p2,lp,1,pre,5,0,0,22,526174,260785,260752,2,3017
p2,lp,1,pre,6,0,0,22,526174,260785,260752,2,3017
p2,lp,1,pre,7,0,0,22,526174,260785,260752,2,3017
p2,lp,1,hold,0,0,0,22,526174,260785,260752,2,3018
p2,lp,1,hold,1,0,0,22,526174,260785,260752,2,3018
p2,lp,1,hold,2,0,0,22,526174,260785,260752,2,3019
p2,lp,1,hold,3,0,0,22,526174,260785,260752,2,3019
p2,lp,1,hold,4,0,0,22,526174,260752,260752,1,3020
p2,lp,1,hold,5,63,0,23,533080,0,0,0,3021
p2,lp,1,hold,6,63,0,23,533080,0,0,0,3021
p2,lp,1,hold,7,62,0,23,533080,0,0,0,3021
p2,lp,1,hold,8,62,0,23,533080,0,0,0,3022
p2,lp,1,hold,9,61,0,23,533080,0,0,0,3023
p2,lp,1,post,0,61,0,23,533080,0,0,0,3023
p2,lp,1,post,1,60,0,23,533080,0,0,0,3024
p2,lp,1,post,2,60,0,23,533080,0,0,0,3024
p2,lp,1,post,3,59,0,23,533080,0,0,0,3025
p2,lp,1,post,4,59,0,23,533080,0,0,0,3025
p2,lp,1,post,5,58,0,23,533080,0,0,0,3025
p2,lp,1,post,6,58,0,23,533080,0,0,0,3026
p2,lp,1,post,7,58,0,23,533080,0,0,0,3026
p2,lp,1,post,8,57,0,23,533080,0,0,0,3027
p2,lp,1,post,9,56,0,23,533080,0,0,0,3028
p2,lp,1,post,10,56,0,23,533080,0,0,0,3028
p2,lp,1,post,11,56,0,23,533080,0,0,0,3028
p2,lp,1,post,12,55,0,23,533080,0,0,0,3029
p2,lp,1,post,13,55,0,23,533080,0,0,0,3029
p2,lp,2,pre,0,0,0,22,526174,260785,260752,2,3014
p2,lp,2,pre,1,0,0,22,526174,260785,260752,2,3015
p2,lp,2,pre,2,0,0,22,526174,260785,260752,2,3015
p2,lp,2,pre,3,0,0,22,526174,260785,260752,2,3015
p2,lp,2,pre,4,0,0,22,526174,260785,260752,2,3016
p2,lp,2,pre,5,0,0,22,526174,260785,260752,2,3017
p2,lp,2,pre,6,0,0,22,526174,260785,260752,2,3017
p2,lp,2,pre,7,0,0,22,526174,260785,260752,2,3017
p2,lp,2,hold,0,0,0,22,526174,260785,260752,2,3018
p2,lp,2,hold,1,0,0,22,526174,260785,260752,2,3019
p2,lp,2,hold,2,0,0,22,526174,260785,260752,2,3019
p2,lp,2,hold,3,0,0,22,526174,260785,260752,2,3019
p2,lp,2,hold,4,0,0,22,526174,260752,260752,1,3020
p2,lp,2,hold,5,63,0,23,533080,0,0,0,3021
p2,lp,2,hold,6,63,0,23,533080,0,0,0,3021
p2,lp,2,hold,7,62,0,23,533080,0,0,0,3021
p2,lp,2,hold,8,62,0,23,533080,0,0,0,3022
p2,lp,2,hold,9,62,0,23,533080,0,0,0,3022
p2,lp,2,post,0,61,0,23,533080,0,0,0,3023
p2,lp,2,post,1,60,0,23,533080,0,0,0,3024
p2,lp,2,post,2,60,0,23,533080,0,0,0,3024
p2,lp,2,post,3,59,0,23,533080,0,0,0,3025
p2,lp,2,post,4,59,0,23,533080,0,0,0,3025
p2,lp,2,post,5,58,0,23,533080,0,0,0,3026
p2,lp,2,post,6,58,0,23,533080,0,0,0,3026
p2,lp,2,post,7,57,0,23,533080,0,0,0,3027
p2,lp,2,post,8,57,0,23,533080,0,0,0,3027
p2,lp,2,post,9,56,0,23,533080,0,0,0,3027
p2,lp,2,post,10,56,0,23,533080,0,0,0,3028
p2,lp,2,post,11,56,0,23,533080,0,0,0,3028
p2,lp,2,post,12,55,0,23,533080,0,0,0,3029
p2,lp,2,post,13,54,0,23,533080,0,0,0,3029
p2,hp,0,pre,0,0,0,22,526174,260785,260752,2,3014
p2,hp,0,pre,1,0,0,22,526174,260785,260752,2,3015
p2,hp,0,pre,2,0,0,22,526174,260785,260752,2,3015
p2,hp,0,pre,3,0,0,22,526174,260785,260752,2,3015
p2,hp,0,pre,4,0,0,22,526174,260785,260752,2,3016
p2,hp,0,pre,5,0,0,22,526174,260785,260752,2,3016
p2,hp,0,pre,6,0,0,22,526174,260785,260752,2,3017
p2,hp,0,pre,7,0,0,22,526174,260785,260752,2,3017
p2,hp,0,hold,0,0,0,22,526174,260785,260752,2,3018
p2,hp,0,hold,1,0,0,22,526174,260785,260752,2,3019
p2,hp,0,hold,2,0,0,22,526174,260785,260752,2,3019
p2,hp,0,hold,3,0,0,22,526174,260752,260752,1,3019
p2,hp,0,hold,4,0,0,22,526174,260752,260752,1,3020
p2,hp,0,hold,5,0,0,22,526174,260752,260752,1,3021
