actor,action,rep,phase,frame_in_phase,0x08C,0x1AC,0x118,0x044,0x048,0x054,0x058,0x04C
p1,lp,0,pre,0,0,0,260578,65536,0,65536,65536,0
p1,lp,0,pre,1,0,0,260578,65536,0,65536,65536,0
p1,lp,0,pre,2,0,0,260578,65536,0,65536,65536,0
p1,lp,0,pre,3,0,0,260578,65536,0,65536,65536,0
p1,lp,0,pre,4,0,0,260578,65536,0,65536,65536,0
p1,lp,0,pre,5,0,0,260578,65536,0,65536,65536,0
p1,lp,0,pre,6,0,0,260578,65536,0,65536,65536,0
p1,lp,0,pre,7,0,0,260578,65536,0,65536,65536,0
p1,lp,0,hold,0,0,0,260578,65536,0,65536,65536,0
p1,lp,0,hold,1,0,0,260578,65536,0,65536,65536,0
p1,lp,0,hold,2,0,0,260578,65536,0,65536,65536,0
p1,lp,0,hold,3,0,0,260579,65536,0,65536,65536,0
p1,lp,0,hold,4,0,0,260579,65536,0,65536,65536,0
p1,lp,0,hold,5,0,0,260579,65536,0,65536,65536,0
p1,lp,0,hold,6,2,0,260579,65536,0,65536,65536,0
p1,lp,0,hold,7,2,0,260579,65536,0,65536,65536,0
p1,lp,0,hold,8,2,0,260579,65536,0,65536,65536,0
p1,lp,0,hold,9,2,0,260579,65536,0,65536,65536,0
p1,lp,0,post,0,2,0,260579,65536,0,65536,65536,4294967200
p1,lp,0,post,1,2,0,260579,65536,0,65536,65536,4294967088
p1,lp,0,post,2,2,0,260579,65536,0,65536,65536,4294967088
p1,lp,0,post,3,2,0,260579,65536,0,65536,65536,4294966800
p1,lp,0,post,4,2,0,260579,65536,0,65536,65536,4294966800
p1,lp,0,post,5,2,0,260579,65536,0,65536,65536,4294966800
p1,lp,0,post,6,2,0,260579,65536,0,65536,65536,4294966496
p1,lp,0,post,7,2,0,260579,65536,0,65536,65536,4294966496
p1,lp,0,post,8,2,0,260579,65536,0,65536,65520,4294966096
p1,lp,0,post,9,2,0,260579,65536,0,65536,65520,4294966096
p1,lp,0,post,10,2,0,260579,65536,0,65536,65504,4294965584
p1,lp,0,post,11,2,0,260579,65536,0,65536,65504,4294965584
p1,lp,0,post,12,2,0,260579,65536,0,65536,65504,4294965184
p1,lp,0,post,13,2,0,260579,65536,0,65536,65472,4294964688
p1,lp,1,pre,0,0,0,260578,65536,0,65536,65536,0
p1,lp,1,pre,1,0,0,260578,65536,0,65536,65536,0
p1,lp,1,pre,2,0,0,260578,65536,0,65536,65536,0
p1,lp,1,pre,3,0,0,260578,65536,0,65536,65536,0
p1,lp,1,pre,4,0,0,260578,65536,0,65536,65536,0
p1,lp,1,pre,5,0,0,260578,65536,0,65536,65536,0
p1,lp,1,pre,6,0,0,260578,65536,0,65536,65536,0
p1,lp,1,pre,7,0,0,260578,65536,0,65536,65536,0
p1,lp,1,hold,0,0,0,260578,65536,0,65536,65536,0
p1,lp,1,hold,1,0,0,260578,65536,0,65536,65536,0
p1,lp,1,hold,2,0,0,260578,65536,0,65536,65536,0
p1,lp,1,hold,3,0,0,260579,65536,0,65536,65536,0
p1,lp,1,hold,4,0,0,260579,65536,0,65536,65536,0
p1,lp,1,hold,5,2,0,260579,65536,0,65536,0,4294901760
p1,lp,1,hold,6,2,0,260579,65536,0,65536,65536,0
p1,lp,1,hold,7,2,0,260579,65536,0,65536,65536,0
p1,lp,1,hold,8,2,0,260579,65536,0,65536,65536,0
p1,lp,1,hold,9,2,0,260579,65536,0,65536,65536,4294967200
p1,lp,1,post,0,2,0,260579,65536,0,65536,65536,4294967200
p1,lp,1,post,1,2,0,260579,65536,0,65536,65536,4294967200
p1,lp,1,post,2,2,0,260579,65536,0,65536,65536,4294967088
p1,lp,1,post,3,2,0,260579,65536,0,65536,65536,4294966800
p1,lp,1,post,4,2,0,260579,65536,0,65536,65536,4294966800
p1,lp,1,post,5,2,0,260579,65536,0,65536,65536,4294966496
p1,lp,1,post,6,2,0,260579,65536,0,65536,65536,4294966496
p1,lp,1,post,7,2,0,260579,65536,0,65536,65520,4294966096
p1,lp,1,post,8,2,0,260579,65536,0,65536,65520,4294966096
p1,lp,1,post,9,2,0,260579,65536,0,65536,65504,4294965584
p1,lp,1,post,10,2,0,260579,65536,0,65536,65504,4294965584
p1,lp,1,post,11,2,0,260579,65536,0,65536,0,4294901760
p1,lp,1,post,12,2,0,260579,65536,0,65536,65504,4294965184
p1,lp,1,post,13,2,0,260579,65536,0,65536,65504,4294965184
p1,lp,2,pre,0,0,0,260578,65536,0,65536,65536,0
p1,lp,2,pre,1,0,0,260578,65536,0,65536,65536,0
p1,lp,2,pre,2,0,0,260578,65536,0,65536,65536,0
p1,lp,2,pre,3,0,0,260578,65536,0,65536,65536,0
p1,lp,2,pre,4,0,0,260578,65536,0,65536,65536,0
p1,lp,2,pre,5,0,0,260578,65536,0,65536,65536,0
p1,lp,2,pre,6,0,0,260578,65536,0,65536,65536,0
p1,lp,2,pre,7,0,0,260578,65536,0,65536,65536,0
p1,lp,2,hold,0,0,0,260578,65536,0,65536,65536,0
p1,lp,2,hold,1,0,0,260579,65536,0,65536,65536,0
p1,lp,2,hold,2,0,0,260579,65536,0,65536,65536,0
p1,lp,2,hold,3,0,0,260579,65536,0,65536,65536,0
p1,lp,2,hold,4,2,0,260579,65536,0,65536,65536,0
p1,lp,2,hold,5,2,0,260579,65536,0,65536,65536,0
p1,lp,2,hold,6,2,0,260579,65536,0,65536,65536,0
p1,lp,2,hold,7,2,0,260579,65536,0,65536,65536,4294967200
p1,lp,2,hold,8,2,0,260579,65536,0,65536,65536,4294967200
p1,lp,2,hold,9,2,0,260579,65536,0,65536,65536,4294967088
p1,lp,2,post,0,2,0,260579,65536,0,65536,65536,4294967088
p1,lp,2,post,1,2,0,260579,65536,0,65536,65536,4294966800
p1,lp,2,post,2,2,0,260579,65536,0,65536,65536,4294966800
p1,lp,2,post,3,2,0,260579,65536,0,65536,65536,4294966496
p1,lp,2,post,4,2,0,260579,65536,0,65536,65536,4294966496
p1,lp,2,post,5,2,0,260579,65536,0,65536,65520,4294966096
p1,lp,2,post,6,2,0,260579,65536,0,65536,65520,4294966096
p1,lp,2,post,7,2,0,260579,65536,0,65536,65504,4294965584
p1,lp,2,post,8,2,0,260579,65536,0,65536,65504,4294965584
p1,lp,2,post,9,2,0,260579,65536,0,65536,65504,4294965184
p1,lp,2,post,10,2,0,260579,65536,0,65536,65504,4294965184
p1,lp,2,post,11,2,0,260579,65536,0,65536,65472,4294964688
p1,lp,2,post,12,2,0,260579,65536,0,65536,65472,4294964688
p1,lp,2,post,13,2,0,260579,65536,0,65536,65472,4294964688
p1,hp,0,pre,0,0,0,260578,65536,0,65536,65536,0
p1,hp,0,pre,1,0,0,260578,65536,0,65536,65536,0
p1,hp,0,pre,2,0,0,260578,65536,0,65536,65536,0
p1,hp,0,pre,3,0,0,260578,65536,0,65536,65536,0
p1,hp,0,pre,4,0,0,260578,65536,0,65536,65536,0
p1,hp,0,pre,5,0,0,260578,65536,0,65536,65536,0
p1,hp,0,pre,6,0,0,260578,65536,0,65536,65536,0
p1,hp,0,pre,7,0,0,260578,65536,0,65536,65536,0
p1,hp,0,hold,0,0,0,260578,65536,0,65536,65536,0
p1,hp,0,hold,1,0,0,260578,65536,0,65536,65536,0
p1,hp,0,hold,2,0,0,260578,65536,0,65536,65536,0
p1,hp,0,hold,3,0,0,260579,65536,0,65536,65536,0
p1,hp,0,hold,4,0,0,260579,65536,0,65536,65536,0
p1,hp,0,hold,5,0,0,260579,65536,0,65536,65536,0
p1,hp,0,hold,6,0,0,260579,65536,0,65536,65536,0
p1,hp,0,hold,7,0,0,260579,65536,0,65536,65536,0
p1,hp,0,hold,8,0,0,260579,65536,0,65536,65536,0
p1,hp,0,hold,9,0,0,260579,65536,0,65536,65536,0
p1,hp,0,post,0,0,0,260579,65536,0,65536,65536,0
p1,hp,0,post,1,0,0,260579,65536,0,65536,65536,0
p1,hp,0,post,2,0,0,260579,65536,0,65536,65536,0
p1,hp,0,post,3,3,417447,260579,65536,0,65536,65536,0
p1,hp,0,post,4,3,417447,260579,65536,0,65536,65536,0
p1,hp,0,post,5,3,417447,260579,65536,0,65536,65536,0
p1,hp,0,post,6,3,417447,260579,65536,0,65536,65536,0
p1,hp,0,post,7,3,417447,260579,65536,0,65536,65536,0
p1,hp,0,post,8,3,417447,260579,65536,0,65536,65536,0
p1,hp,0,post,9,3,417447,260579,65536,0,65536,65536,0
p1,hp,0,post,10,3,417447,260579,65536,0,65536,65536,0
p1,hp,0,post,11,3,417447,260579,65536,0,65536,65536,0
p1,hp,0,post,12,3,417447,260579,65536,0,65536,65536,0
p1,hp,0,post,13,3,417447,260579,65536,0,65536,65536,0
p1,hp,1,pre,0,0,0,260578,65536,0,65536,65536,0
p1,hp,1,pre,1,0,0,260578,65536,0,65536,65536,0
p1,hp,1,pre,2,0,0,260578,65536,0,65536,65536,0
p1,hp,1,pre,3,0,0,260578,65536,0,65536,65536,0
p1,hp,1,pre,4,0,0,260578,65536,0,65536,65536,0
p1,hp,1,pre,5,0,0,260578,65536,0,65536,65536,0
p1,hp,1,pre,6,0,0,260578,65536,0,65536,65536,0
p1,hp,1,pre,7,0,0,260578,65536,0,65536,65536,0
p1,hp,1,hold,0,0,0,260578,65536,0,65536,65536,0
p1,hp,1,hold,1,0,0,260578,65536,0,65536,65536,0
p1,hp,1,hold,2,0,0,260578,65536,0,65536,65536,0
p1,hp,1,hold,3,0,0,260579,65536,0,65536,65536,0
p1,hp,1,hold,4,0,0,260579,65536,0,65536,65536,0
p1,hp,1,hold,5,0,0,260579,65536,0,65536,65536,0
p1,hp,1,hold,6,0,0,260579,65536,0,65536,65536,0
p1,hp,1,hold,7,0,0,260579,65536,0,65536,65536,0
p1,hp,1,hold,8,0,0,260579,65536,0,65536,65536,0
p1,hp,1,hold,9,0,0,260579,65536,0,65536,65536,0
p1,hp,1,post,0,0,0,260579,65536,0,65536,65536,0
p1,hp,1,post,1,0,0,260579,65536,0,65536,65536,0
p1,hp,1,post,2,0,0,260579,65536,0,65536,65536,0
p1,hp,1,post,3,3,417447,260579,65536,0,65536,65536,0
p1,hp,1,post,4,3,417447,260579,65536,0,65536,65536,0
p1,hp,1,post,5,3,417447,260579,65536,0,65536,65536,0
p1,hp,1,post,6,3,417447,260579,65536,0,65536,65536,0
p1,hp,1,post,7,3,417447,260579,65536,0,65536,65536,0
p1,hp,1,post,8,3,417447,260579,65536,0,65536,65536,0
p1,hp,1,post,9,3,417447,260579,65536,0,65536,65536,0
p1,hp,1,post,10,3,417447,260579,65536,0,65536,65536,0
p1,hp,1,post,11,3,417447,260579,65536,0,65536,65536,0
p1,hp,1,post,12,3,417447,260579,65536,0,65536,65536,0
p1,hp,1,post,13,3,417447,260579,65536,0,65536,65536,0
p1,hp,2,pre,0,0,0,260578,65536,0,65536,65536,0
p1,hp,2,pre,1,0,0,260578,65536,0,65536,65536,0
p1,hp,2,pre,2,0,0,260578,65536,0,65536,65536,0
p1,hp,2,pre,3,0,0,260578,65536,0,65536,65536,0
p1,hp,2,pre,4,0,0,260578,65536,0,65536,65536,0
p1,hp,2,pre,5,0,0,260578,65536,0,65536,65536,0
p1,hp,2,pre,6,0,0,260578,65536,0,65536,65536,0
p1,hp,2,pre,7,0,0,260578,65536,0,65536,65536,0
p1,hp,2,hold,0,0,0,260578,65536,0,65536,65536,0
p1,hp,2,hold,1,0,0,260578,65536,0,65536,65536,0
p1,hp,2,hold,2,0,0,260578,65536,0,65536,65536,0
p1,hp,2,hold,3,0,0,260579,65536,0,65536,65536,0
p1,hp,2,hold,4,0,0,260579,65536,0,65536,65536,0
p1,hp,2,hold,5,0,0,260579,65536,0,65536,65536,0
p1,hp,2,hold,6,0,0,260579,65536,0,65536,65536,0
p1,hp,2,hold,7,0,0,260579,65536,0,65536,65536,0
p1,hp,2,hold,8,0,0,260579,65536,0,65536,65536,0
p1,hp,2,hold,9,0,0,260579,65536,0,65536,65536,0
p1,hp,2,post,0,0,0,260579,65536,0,65536,65536,0
p1,hp,2,post,1,0,0,260579,65536,0,65536,65536,0
p1,hp,2,post,2,0,0,260579,65536,0,65536,65536,0
p1,hp,2,post,3,0,0,260579,65536,0,65536,65536,0
p1,hp,2,post,4,3,417447,260579,65536,0,65536,65536,0
p1,hp,2,post,5,3,417447,260579,65536,0,65536,65536,0
p1,hp,2,post,6,3,417447,260579,65536,0,65536,65536,0
p1,hp,2,post,7,3,417447,260579,65536,0,65536,65536,0
